,2021-11-30,2020-11-30,2019-11-30
Total Assets,12905800000.0,12089700000.0,10362100000.0
Current Assets,2195800000.0,2083600000.0,1550200000.0
Cash Cash Equivalents And Short Term Investments,351700000.0,423600000.0,155400000.0
Cash And Cash Equivalents,351700000.0,423600000.0,155400000.0
Receivables,549500000.0,528500000.0,502900000.0
Accounts Receivable,549500000.0,528500000.0,502900000.0
Gross Accounts Receivable,554700000.0,533700000.0,508500000.0
Allowance For Doubtful Accounts Receivable,-5200000.0,-5200000.0,-5600000.0
Inventory,1182300000.0,1032600000.0,801200000.0
Raw Materials,626100000.0,533300000.0,387900000.0
Finished Goods,556200000.0,499300000.0,413300000.0
Prepaid Assets,41700000.0,38000000.0,36000000.0
Other Current Assets,70600000.0,60900000.0,54700000.0
Total Non Current Assets,10710000000.0,10006100000.0,8811900000.0
Net PPE,1277100000.0,1165200000.0,952600000.0
Gross PPE,2339000000.0,2150600000.0,1819600000.0
Properties,0.0,0.0,0.0
Land And Improvements,95100000.0,87200000.0,67500000.0
Buildings And Improvements,694700000.0,698200000.0,658500000.0
Machinery Furniture Equipment,1200500000.0,1102900000.0,1007800000.0
Other Properties,136800000.0,136800000.0,
Construction In Progress,211900000.0,125500000.0,85800000.0
Accumulated Depreciation,-1061900000.0,-985400000.0,-867000000.0
Goodwill And Other Intangible Assets,8929400000.0,8341700000.0,7428600000.0
Goodwill,5335800000.0,4986300000.0,4505200000.0
Other Intangible Assets,3593600000.0,3355400000.0,2923400000.0
Investments And Advances,301300000.0,322900000.0,310400000.0
Long Term Equity Investment,164000000.0,193000000.0,186000000.0
Investmentsin Joint Venturesat Cost,164000000.0,193000000.0,186000000.0
Other Investments,137300000.0,129900000.0,124400000.0
Other Non Current Assets,202200000.0,176300000.0,120300000.0
Total Liabilities Net Minority Interest,8480300000.0,8149700000.0,6905400000.0
Current Liabilities,3223800000.0,3046500000.0,2154400000.0
Payables And Accrued Expenses,1725100000.0,1712600000.0,1318800000.0
Payables,1163200000.0,1123000000.0,846900000.0
Accounts Payable,1064200000.0,1032300000.0,846900000.0
Dividends Payable,99000000.0,90700000.0,
Current Accrued Expenses,561900000.0,589600000.0,471900000.0
Current Provisions,189300000.0,183300000.0,137200000.0
Current Debt And Capital Lease Obligation,1309400000.0,1150600000.0,698400000.0
Current Debt,1309400000.0,1150600000.0,698400000.0
Commercial Paper,530800000.0,845800000.0,575300000.0
Other Current Borrowings,778600000.0,304800000.0,123100000.0
Total Non Current Liabilities Net Minority Interest,5256500000.0,5103200000.0,4751000000.0
Long Term Debt And Capital Lease Obligation,4079400000.0,3857300000.0,3625800000.0
Long Term Debt,3973300000.0,3753800000.0,3625800000.0
Long Term Capital Lease Obligation,106100000.0,103500000.0,
Non Current Deferred Liabilities,792300000.0,727200000.0,697600000.0
Non Current Deferred Taxes Liabilities,792300000.0,727200000.0,697600000.0
Tradeand Other Payables Non Current,,103500000.0,
Employee Benefits,240200000.0,352300000.0,289600000.0
Non Current Pension And Other Postretirement Benefit Plans,240200000.0,352300000.0,289600000.0
Other Non Current Liabilities,144600000.0,166400000.0,138000000.0
Total Equity Gross Minority Interest,4425500000.0,3940000000.0,3456700000.0
Stockholders Equity,4411000000.0,3926100000.0,3444200000.0
Capital Stock,2055100000.0,1981300000.0,1888600000.0
Common Stock,2055100000.0,1981300000.0,1888600000.0
Retained Earnings,2782400000.0,2415600000.0,2055800000.0
Gains Losses Not Affecting Retained Earnings,-426500000.0,-470800000.0,-500200000.0
Minority Interest,14500000.0,13900000.0,12500000.0
Total Capitalization,8384300000.0,7679900000.0,7070000000.0
Common Stock Equity,4411000000.0,3926100000.0,3444200000.0
Capital Lease Obligations,106100000.0,103500000.0,
Net Tangible Assets,-4518400000.0,-4415600000.0,-3984400000.0
Working Capital,-1028000000.0,-962900000.0,-604200000.0
Invested Capital,9693700000.0,8830500000.0,7768400000.0
Tangible Book Value,-4518400000.0,-4415600000.0,-3984400000.0
Total Debt,5388800000.0,5007900000.0,4324200000.0
Net Debt,4931000000.0,4480800000.0,4168800000.0
Share Issued,267300000.0,266900000.0,265800000.0
Ordinary Shares Number,267300000.0,266900000.0,265800000.0
